part,description,shape,color,coating,mfg
1-0714-5038,Base 5.5 Blank V6-10 AF,Base 5.5,V6-10,AF,Revision VI20198
1-0714-5040,Base 5.5 Cyl Blank Smk AF Carbon Black,Revision,CB Smk,AF,Revision VI20197
1-0715-0004,SF Lens Ver Max Nomk Lg,SF Max Lg,Ver,AF,-
1-0715-0005,SF Lens Clr Max EN Lg,SF Max Lg,Clr,AF,Foresight VV20575
1-0715-0006,SF Lens NG Max EN Lg,SF Max Lg,NG,AF,Foresight VV20575
1-0715-0007,SF Lens Yel Max EN Lg,SF Max Lg,Yel,AF,Foresight VV20575
1-0715-0008,SF Lens Ver Max EN Lg,SF Max Lg,Ver,AF,Foresight VV20575
1-0715-0009,SF Lens Clr Max EN AF Lg,SF Max Lg,Clr,AF,-
1-0715-0010,SF Lens NG Max EN AF Lg,SF Max Lg,NG,AF,-
1-0715-0011,SF Lens Yel Max EN AF Lg,SF Max Lg,Yel,AF,-
1-0715-0016,SF Lens Clr Max Gel HC Lg,SF Max Lg,Clr,HC,-
1-0715-0017,SF Lens NG Max Gel HC Lg,SF Max Lg,NG,HC,-
1-0715-0018,SF Lens Smk Max Gel HC Lg,SF Max Lg,Smk,HC,-
1-0715-0019,SF Lens Yel Max Gel HC Lg,SF Max Lg,Yel,HC,-
1-0715-0020,SF Lens Ver Max Gel HC Lg,SF Max Lg,Ver,HC,-
1-0715-0021,SF Lens Smk Max EN Lg,SF Max Lg,Smk,AF,-
1-0715-0022,SF Lens Smk Max EN AF Lg,SF Max Lg,Smk,AF,-
1-0715-0023,SF Lens Clr Max EN Lg DE,SF Max Lg,Clr,AF,Foresight VV20575
1-0715-0024,SF Lens NG Max EN Lg DE,SF Max Lg,NG,AF,Foresight VV20575
1-0715-0025,SF Lens Ver Max EN Lg DE,SF Max Lg,Ver,AF,Foresight VV20575
1-0715-0026,SF Lens Clr Max Nomk Lg,SF Max Lg,Clr,AF,-
1-0715-0027,SF Lens Smk Max Nomk Lg,SF Max Lg,Smk,AF,-
1-0715-0028,SF Lens Yel Max EN Lg DE,SF Max Lg,Yel,AF,-
1-0715-0033,SF Lens Clr Max EN HC2/NK50 Lg DE,SF Max Lg,Clr,AF,Taroko VV21312
1-0715-0034,SF Lens NG Max EN HC2/NK50 Lg DE,SF Max Lg,NG,AF,Taroko VV21312
1-0715-0035,SF Lens Yel Max EN HC2/NK50 Lg DE,SF Max Lg,Yel,AF,Taroko VV21312
1-0715-0036,SF Lens Ver Max EN HC2/NK50 Lg DE,SF Max Lg,Ver,AF,Taroko VV21312
1-0715-0037,SF Lens Smk Max EN HC2/NK50 Lg DE,SF Max Lg,Smk,AF,Taroko VV21312
1-0715-0039,SF Lens LT-Ver Max EN AF Lg,SF Max Lg,Ver,AF,-
1-0715-0041,SF Lens Clr Max AF Lg CH,SF Max Lg CH,Clr,AF,Taroko VV21312
1-0715-0044,SF Lens Smk Max AF Lg Nomk,SF Max Lg,Smk,AF,Taroko VV21312
1-0715-0100,SF Lens Clr Max AF Lg Nomk,SF Max Lg,Clr,AF,Taroko VV21312
1-0715-0101,SF Lens Int'l Clr Max AF Lg Nomk,SF Max Lg,Clr Int'l,AF,Taroko VV21312
1-0715-5001,SF Lsr Lens FT-2 Max HC Lg,SF Max Lg,FT-2,HC,-
1-0715-5003,SF Lsr Lens E2-5 UVS Max HC Lg DE,SF Max Lg,E2-5,HC,-
1-0715-5011,SF Lens Max Clr EN AF Lg DE,SF Max Lg,Clr,AF,-
1-0715-5013,SF Lens Max Ver EN AF Lg DE,SF Max Lg,Ver,AF,-
1-0715-5015,SF Lens Max Smk EN AF Lg DE,SF Max Lg,Smk,AF,-
1-0715-5016,SF Lens Ver Max EN AF Lg,SF Max Lg,Ver,AF,-
1-0715-5029,SF Lsr Lens  C5-6-10 Max EN AF Lg,SF Max Lg,C5-6-10,AF,-
1-0715-5043,SF Lens Clr Max EN HC Lg DE,SF Max Lg,Clr,HC,-
1-0715-5047,SF Lens Smk Max EN Gel AF Lg DE,SF Max Lg,Smk,AF,-
1-0715-5051,SF Lsr Lens E2-5 UVS Max EN AF Lg DE,SF Max Lg,E2-5,AF,-
1-0715-5051,SF Lsr Lens E2-5 UVS Max EN AF Lg DE,SF Max Lg,E2-5,AF,-
1-0715-5201,SF Lens Smk Max AF Lg CH,SF Max Lg,Smk,AF,-
1-0716-0005,SF Lens Clr Max EN Rg,SF Max Rg,Clr,HC,Foresight VV20575
1-0716-0006,SF Lens NG Max EN Rg,SF Max Rg,NG,HC,Foresight VV20575
1-0716-0007,SF Lens Yel Max EN Rg,SF Max Rg,Yel,HC,Foresight VV20575
1-0716-0008,SF Lens Ver Max EN Rg,SF Max Rg,Ver,HC,Foresight VV20575
1-0716-0009,SF Lens Clr Max EN AF Rg,SF Max Rg,Clr,AF,-
1-0716-0010,SF Lens NG Max EN AF Rg,SF Max Rg,NG,AF,-
1-0716-0011,SF Lens Yel Max EN AF Rg,SF Max Rg,Yel,AF,-
1-0716-0016,SF Lens Clr Max Gel HC Rg,SF Max Rg,Clr,HC,-
1-0716-0017,SF Lens NG Max Gel HC Rg,SF Max Rg,NG,HC,-
1-0716-0018,SF Lens Smk Max Gel HC Rg,SF Max Rg,Smk,HC,-
1-0716-0019,SF Lens Yel Max Gel HC Rg,SF Max Rg,Yel,HC,-
1-0716-0020,SF Lens Ver Max Gel HC Rg,SF Max Rg,Ver,HC,-
1-0716-0021,SF Lens Smk Max EN Rg,SF Max Rg,Smk,AF,-
1-0716-0022,SF Lens Smk Max EN AF Rg,SF Max Rg,Smk,AF,-
1-0716-0023,SF Lens Clr Max EN Rg DE,SF Max Rg,Clr,AF,Foresight VV20575
1-0716-0024,SF Lens NG Max EN Rg DE,SF Max Rg,NG,AF,Foresight VV20575
1-0716-0025,SF Lens Ver Max EN Rg DE,SF Max Rg,Ver,AF,Foresight VV20575
1-0716-0026,SF Lens Clr Max Nomk Rg,SF Max Rg,Clr,AF,-
1-0716-0027,SF Lens Smk Max Nomk Rg,SF Max Rg,Smk,AF,-
1-0716-0027,SF Lens Smk Max Nomk Rg,SF Max  Rg,Smk,AF,Taroko VV21312
1-0716-0028,SF Lens Yel Max EN Rg DE,SF Max Rg,Yel,AF,-
1-0716-0033,SF Lens Clr Max EN HC2/NK50 Rg DE,SF Max Rg,Clr,AF,Taroko VV21312
1-0716-0034,SF Lens NG Max EN HC2/NK50 Rg DE,SF Max Rg,NG,AF,Taroko VV21312
1-0716-0035,SF Lens Yel Max EN HC2/NK50 Rg DE,SF Max Rg,Yel,AF,Taroko VV21312
1-0716-0036,SF Lens Ver Max EN HC2/NK50 Rg DE,SF Max Rg,Ver,AF,Taroko VV21312
1-0716-0037,SF Lens Smk Max EN HC2/NK50 Rg DE,SF Max Rg,Smk,AF,Taroko VV21312
1-0716-0039,SF Lens LT-Ver Max EN AF Rg,SF Max Rg,Ver,AF,-
1-0716-0041,SF Lens Clr Max AF Rg CH,SF Max Rg,Clr,AF,Taroko VV21312
1-0716-0100,SF Lens Clr Max AF Rg Nomk,SF Max Rg,Clr,AF,Taroko VV21312
1-0716-0101,SF Lens Int'l Clr Max AF Rg Nomk,SF Max Rg,Clr Int'l,AF,Taroko VV21312
1-0716-5001,SF Lens Max FT-2 EN HC Rg,SF Max Rg,FT-2,HC,-
1-0716-5003,SF Lsr Lens E2-5 UVS Max HC Rg DE,SF Max Rg,E2-5,HC,-
1-0716-5007,SF Lens Yel Max Nomk AF Rg,SF Max Rg,Yel,AF,-
1-0716-5009,SF Lens Clr Max EN AF Rg DE,SF Max Rg,Clr,AF,-
1-0716-5011,SF Lens Ver Max EN AF Rg DE,SF Max Rg,Ver,AF,-
1-0716-5018,SF Lens Smk Max EN AF Rg DE,SF Max Rg,Smk,AF,-
1-0716-5029,SF Lsr Lens C5-6-10 Max EN AF Rg,SF Max Rg,C5-6-10,AF,-
1-0716-5043,SF Lens Clr Max EN HC Rg DE,SF Max Rg,Clr,HC,-
1-0716-5047,SF Lens Smk Max EN Gel AF Rg DE,SF Max Rg,Smk,AF,-
1-0716-5051,SF Lsr Lens E2-5 UVS Max EN AF Rg DE,SF Max Rg,E2-5,AF,-
1-0716-5102,SF Lens Clr Max AF Rg,SF Max Rg,Clr,AF,-
1-0716-5401,SF Lens Ver Max AF Rg CH,SF Max Rg,Ver,AF,-
1-0725-0100,Base 6 Sphr Blank PHC,Base 6.0,PHC,AF,Darwin VV20747
1-0725-5001,Base 6 Sphr Blank Clr HC,Base 6.0,Clr,HC,Revision VI20197
1-0725-5002,Base 6 Sphr Blank Smk HC,Base 6.0,Smk,HC,Revision VI20197
1-0725-5003,Base 6 Sphr Blank Yel HC (obsolete),Base 6.0,Yel,HC,Revision VI20197
1-0725-5004,Base 6 Sphr Blank FT-2 Lsr HC,Base 6.0,FT-2,HC,Revision VI20197
1-0725-5009,Base 6 Sphr Blank NG HC,Base 6.0,NG,HC,Revision VI20197
